"","FollowNumber","Name","Age","Sex","DiversityScore"
"217",6638,"walimah",7,"F",1.49823069841567
"218",6973,"walimah",7,"F",1.26047988587503
"219",7124,"walimah",7,"F",1.54210534497341
"220",6678,"walimah",7,"F",1.51026689934889
"221",7186,"walimah",7,"F",1.79470072813069
"222",6820,"walimah",7,"F",1.27867498136658
"223",7571,"walimah",7,"F",1.37026329989935
"224",7201,"walimah",7,"F",1.190705234277
"225",3052,"walimah",1,"F",1.72624616601222
"226",3198,"walimah",1,"F",2.20571291824666
"227",3287,"walimah",1,"F",1.84987542032464
"228",3300,"walimah",1,"F",1.66027822430966
"229",3398,"walimah",1,"F",1.63279645804297
"230",3448,"walimah",1,"F",1.68366359949249
"231",3499,"walimah",2,"F",1.28094866465949
"232",3661,"walimah",2,"F",2.08989640365366
"233",3907,"walimah",2,"F",1.4741122499089
"234",4179,"walimah",2,"F",2.24318273585915
"235",4995,"walimah",6,"F",0.682367888755685
"236",6605,"walimah",7,"F",1.5511509021626
"237",7442,"walimah",7,"F",1.28044250150424
"238",6829,"walimah",7,"F",1.61940564890957
"239",3248,"walimah",1,"F",1.92455145067687
"240",3483,"walimah",2,"F",1.58053797925963
"241",7069,"walimah",7,"F",1.92084337891852
"242",3294,"walimah",1,"F",1.70410711742357
"243",3558,"walimah",2,"F",2.23287882051544
"244",5288,"walimah",6,"F",1.15399895631971
"245",5292,"walimah",6,"F",0.68727617209568
"246",6883,"walimah",7,"F",1.35920531383508
"247",6990,"walimah",7,"F",1.44326018468781
"248",3188,"walimah",1,"F",1.54969420294881
"249",7071,"walimah",7,"F",1.34351767578647
"250",4307,"walimah",2,"F",1.49484106539382
"251",6554,"walimah",7,"F",1.50162054036509
"252",6599,"walimah",7,"F",1.02850915711299
"253",6624,"walimah",7,"F",0.874211019369191
"254",6975,"walimah",7,"F",1.49908418718369
"255",7717,"walimah",7,"F",1.91503287985551
"256",7170,"walimah",7,"F",0.843344102358577
"257",3045,"walimah",1,"F",1.81080804461645
"258",3056,"walimah",1,"F",1.28977084844301
"259",3166,"walimah",1,"F",1.7122507386265
"260",3298,"walimah",1,"F",1.04923759494821
"261",3401,"walimah",1,"F",2.23040103034242
"262",3487,"walimah",2,"F",1.74670828185736
"263",3495,"walimah",2,"F",1.67114912627729
"264",5331,"walimah",6,"F",1.68792024556315
"265",6682,"walimah",7,"F",0.40821560707974
"266",6878,"walimah",7,"F",1.43045137302657
